cgpa,score,placed
6.8,61.0,0
9.56,58.0,1
8.51,50.0,1
7.87,73.0,0
5.75,66.0,0
5.75,88.0,0
5.28,42.0,0
9.16,75.0,1
7.89,82.0,0
8.4,82.0,1
5.1,89.0,0
9.66,80.0,1
9.0,91.0,1
6.02,58.0,0
6.4,54.0,0
7.94,50.0,0
5.67,42.0,0
6.4,90.0,0
6.76,40.0,0
7.19,80.0,0
8.77,48.0,0
5.96,90.0,0
7.47,89.0,1
7.84,76.0,0
5.22,77.0,0
7.92,40.0,0
5.82,94.0,0
5.31,88.0,0
9.55,89.0,1
9.64,76.0,1
8.88,59.0,0
6.46,89.0,0
5.47,56.0,0
8.28,71.0,0
7.11,45.0,0
5.59,91.0,0
7.38,48.0,0
5.17,52.0,0
9.36,71.0,1
6.24,82.0,0
8.18,74.0,0
6.5,53.0,0
7.5,40.0,0
7.62,82.0,0
5.89,94.0,0
9.65,85.0,1
8.72,65.0,0
9.51,90.0,1
9.3,63.0,0
7.87,69.0,0
9.42,66.0,1
5.42,65.0,0
5.94,83.0,0
5.22,69.0,0
6.56,57.0,0
6.87,54.0,0
6.3,42.0,0
8.98,72.0,1
6.71,53.0,0
6.35,48.0,0
7.6,76.0,1
5.68,77.0,0
8.85,81.0,1
5.36,68.0,0
9.74,89.0,1
8.71,91.0,1
5.95,84.0,1
5.03,75.0,0
8.91,57.0,1
8.39,94.0,1
8.5,55.0,1
8.7,51.0,1
5.36,64.0,0
6.72,43.0,0
5.56,94.0,0
9.14,72.0,0
7.99,71.0,0
6.59,76.0,0
5.31,67.0,0
6.49,42.0,0
6.56,74.0,0
8.5,79.0,1
8.06,63.0,0
9.26,82.0,1
7.27,52.0,0
5.57,52.0,0
8.42,49.0,0
8.65,60.0,0
7.69,87.0,0
8.7,86.0,1
7.37,61.0,0
7.51,72.0,0
7.05,80.0,0
5.12,53.0,0
5.52,49.0,0
5.15,93.0,0
8.05,74.0,0
6.51,94.0,0
